Start Time,End Time,Original,Translation,English Translation,Score,Comment
1900-01-01 00:12:50.783991,1900-01-01 00:12:52.783991,"1,000 miles away from anything called focaccia,","1 , 000 [UNK] van alles . . .","one , 000 [UNK] of all . . .",,
1900-01-01 00:12:52.783991,1900-01-01 00:12:54.783991,let me tell you.,laat me je zeggen .,let me tell you .,,
1900-01-01 00:12:54.783991,1900-01-01 00:12:55.783991,It's embarrassing.,het is gênant .,it's embarrassing .,,
1900-01-01 00:12:55.783991,1900-01-01 00:12:58.783991,"Pink lasagna, stone cold in the center, piping","pink [UNK] , stone koud in het midden in het midden , [UNK]","pink [UNK] , stone cold in the middle of the middle , [UNK]",,
1900-01-01 00:12:58.783991,1900-01-01 00:12:59.783991,hot on the right hand side.,[UNK] aan de hand .,turn on the hand .,,
1900-01-01 00:12:59.783991,1900-01-01 00:13:00.783991,Disgusting.,walgelijk .,disgusting !,,
1900-01-01 00:13:00.783991,1900-01-01 00:13:02.802991,"I just, I trust him so much.",ik vertrouw hem zoveel .,i trust him so much .,,
1900-01-01 00:13:02.802991,1900-01-01 00:13:04.802991,I trust him.,ik vertrouw hem .,trust him .,,
1900-01-01 00:13:04.843991,1900-01-01 00:13:05.843991,You're full of shit.,je bent vol .,you're full .,,
1900-01-01 00:13:05.843991,1900-01-01 00:13:06.843991,I let him do it.,ik laat hem het doen .,i'll let him do it .,,
1900-01-01 00:13:06.843991,1900-01-01 00:13:07.843991,I just let him do it.,ik laat hem het doen .,i'll let him do it .,,
1900-01-01 00:13:07.843991,1900-01-01 00:13:08.843991,You trust them?,vertrouw je ze ?,do you trust them ?,,
1900-01-01 00:13:08.843991,1900-01-01 00:13:10.843991,"I just trusted him to know what he was doing,",ik [UNK] hem gewoon om te weten wat hij deed .,i just [UNK] him to know what he did .,,
1900-01-01 00:13:10.843991,1900-01-01 00:13:12.843991,because he's been doing it for so long.,omdat hij het zo lang doet .,because he does it so long .,,
1900-01-01 00:13:12.843991,1900-01-01 00:13:15.823991,"No, the problem is, he's got away with it for so long.","nee , het probleem is , dat is lang geleden .","no , the problem is long ago .",,
1900-01-01 00:13:15.823991,1900-01-01 00:13:18.823991,Frittata Mare with the overcooked linguine,[UNK] met de [UNK] .,[UNK] with the [UNK] .,,
1900-01-01 00:13:18.823991,1900-01-01 00:13:19.823991,in a seafood dish.,in een [UNK] [UNK] .,in a [UNK] [UNK] .,,
1900-01-01 00:13:19.823991,1900-01-01 00:13:23.823991,"No salt, the shrimps solid like a bullet,","geen zout , [UNK] als een kogel . . .","no salt , [UNK] as a bullet . . .",,
1900-01-01 00:13:23.823991,1900-01-01 00:13:25.823991,and mussels that didn't even taste fresh.,die smaak heeft geen smaak .,that taste isn't a taste .,,
1900-01-01 00:13:25.823991,1900-01-01 00:13:26.823991,Where are the mussels from?,waar zijn de [UNK] vandaan ?,where are the [UNK] ?,,
1900-01-01 00:13:26.823991,1900-01-01 00:13:28.823991,The store.,de winkel .,the store .,,
1900-01-01 00:13:28.823991,1900-01-01 00:13:29.823991,Show me.,laat me zien .,let me see .,,
1900-01-01 00:13:32.843991,1900-01-01 00:13:33.843991,"I mean, come on.","ik bedoel , kom op .","i mean , come on .",,
1900-01-01 00:13:33.883991,1900-01-01 00:13:36.883991,What a mess.,wat een [UNK] .,what a [UNK] .,,
1900-01-01 00:13:36.883991,1900-01-01 00:13:39.883991,"I mean, wow.",wauw .,wow .,,
1900-01-01 00:13:39.883991,1900-01-01 00:13:40.883991,What?,wat ?,what ?,,
1900-01-01 00:13:40.883991,1900-01-01 00:13:42.883991,What else do you freeze?,wat [UNK] je nog meer ?,what else do you remember ?,,
1900-01-01 00:13:42.883991,1900-01-01 00:13:45.862991,I don't know.,ik weet het niet .,i don't know .,,
1900-01-01 00:13:45.862991,1900-01-01 00:13:46.862991,You want to come and see?,wil je eens kijken ?,you wanna watch ?,,
1900-01-01 00:13:46.862991,1900-01-01 00:13:47.862991,Yeah.,ja .,yeah .,,
1900-01-01 00:13:47.862991,1900-01-01 00:13:48.862991,Yeah.,ja .,yeah .,,
1900-01-01 00:13:48.862991,1900-01-01 00:13:50.862991,"Well, if you don't know, let's find out.","nou , als je het niet weet , vinden we het .","well , if you don't know , we find it .",,
1900-01-01 00:13:50.862991,1900-01-01 00:13:53.862991,What is it that?,wat is dat ?,what's that ?,,
1900-01-01 00:13:53.862991,1900-01-01 00:13:55.862991,You freeze meatballs?,[UNK] je [UNK] ?,are you [UNK] ?,,
1900-01-01 00:13:55.862991,1900-01-01 00:13:57.862991,When were these made?,wanneer waren die gemaakt ?,when were these ?,,
1900-01-01 00:13:57.862991,1900-01-01 00:13:58.862991,We buy them.,we kopen ze .,we're buying them .,,
1900-01-01 00:13:58.862991,1900-01-01 00:13:59.862991,You buy him meatballs?,koop je hem [UNK] ?,- what about him ?,,
1900-01-01 00:13:59.862991,1900-01-01 00:14:00.862991,He can't make a meatball?,kan hij geen [UNK] maken ?,can't he make a [UNK] ?,,
1900-01-01 00:14:01.862991,1900-01-01 00:14:04.862991,"He said, yeah.","hij zei , ja .","he said , yes .",,
1900-01-01 00:14:04.862991,1900-01-01 00:14:05.862991,He can't make a meatball?,kan hij geen [UNK] maken ?,can't he make a [UNK] ?,,
1900-01-01 00:14:05.862991,1900-01-01 00:14:06.862991,He doesn't want to?,dat wil hij niet ?,he doesn't want to ?,,
1900-01-01 00:14:09.862991,1900-01-01 00:14:10.862991,"Oh, wow.",wauw .,wow .,,
1900-01-01 00:14:10.862991,1900-01-01 00:14:11.862991,Can you make a meatball?,kun je een [UNK] maken ?,can you make a [UNK] ?,,
1900-01-01 00:14:11.862991,1900-01-01 00:14:12.862991,Yeah.,ja .,yeah .,,
1900-01-01 00:14:12.862991,1900-01-01 00:14:14.883991,My hands are tied in this kitchen.,mijn handen zitten vast in deze keuken .,my hands are stuck in this kitchen .,,
1900-01-01 00:14:14.883991,1900-01-01 00:14:17.883991,I don't have any input on what goes on.,ik heb geen [UNK] op wat er gaande is .,i don't have a [UNK] on what's going on .,,
1900-01-01 00:14:17.883991,1900-01-01 00:14:19.883991,"Tatiana should step up to the plate,",ga op het [UNK] staan .,get on the [UNK] .,,
1900-01-01 00:14:19.883991,1900-01-01 00:14:22.883991,and she should know what's going on in the kitchen.,ze zou moeten weten wat er gaande is in de keuken .,she should know what's going on in the kitchen .,,
1900-01-01 00:14:22.883991,1900-01-01 00:14:23.883991,That's her job.,dat is haar werk .,that's her work .,,
1900-01-01 00:14:23.883991,1900-01-01 00:14:25.883991,What is that?,wat is dat ?,what's that ?,,
1900-01-01 00:14:25.883991,1900-01-01 00:14:26.883991,Noodles.,[UNK] .,[UNK] .,,
1900-01-01 00:14:26.883991,1900-01-01 00:14:27.883991,Noodles?,[UNK] ?,[UNK] ?,,
1900-01-01 00:14:27.883991,1900-01-01 00:14:28.883991,What's the chef expecting?,wat verwacht je ?,what do you expect ?,,
1900-01-01 00:14:28.902991,1900-01-01 00:14:30.902991,A rush on pasta?,[UNK] op [UNK] ?,[UNK] on [UNK] ?,,
1900-01-01 00:14:30.902991,1900-01-01 00:14:31.902991,Wow.,wauw .,wow .,,
1900-01-01 00:14:31.902991,1900-01-01 00:14:34.883991,How much pasta does one chef need?,hoeveel [UNK] heeft een [UNK] nodig ?,how many [UNK] needs a [UNK] ?,,
1900-01-01 00:14:34.883991,1900-01-01 00:14:36.883991,He's obsessed with it.,hij is [UNK] .,he's [UNK] .,,
1900-01-01 00:14:36.883991,1900-01-01 00:14:39.883991,It's all overcooked.,het is allemaal [UNK] .,it's all [UNK] .,,
1900-01-01 00:14:39.883991,1900-01-01 00:14:40.883991,What's in this one?,wat zit er op deze ?,what on this one ?,,
1900-01-01 00:14:40.883991,1900-01-01 00:14:41.883991,Pizza dough.,pizza geld .,pizza money .,,
1900-01-01 00:14:41.883991,1900-01-01 00:14:42.883991,Holy crap.,verdomme .,damn it .,,
1900-01-01 00:14:42.883991,1900-01-01 00:14:44.883991,"This is just for the pizza, not the bread?","dit is voor de pizza , niet het brood ?","this is for the pizza , isn't the bread ?",,
1900-01-01 00:14:44.883991,1900-01-01 00:14:46.883991,Not the bread.,- zeker niet .,- certainly not .,,
1900-01-01 00:14:46.883991,1900-01-01 00:14:47.902991,And this dough here?,en deze [UNK] hier ?,and this [UNK] here ?,,
1900-01-01 00:14:47.902991,1900-01-01 00:14:48.902991,Same thing.,hetzelfde .,same .,,
1900-01-01 00:14:48.902991,1900-01-01 00:14:49.902991,Small and large.,kleine en groot .,little and big .,,
1900-01-01 00:14:49.902991,1900-01-01 00:14:50.902991,Small and large.,kleine en groot .,little and big .,,
1900-01-01 00:14:50.902991,1900-01-01 00:14:52.902991,Small and large.,kleine en groot .,little and big .,,
1900-01-01 00:14:52.902991,1900-01-01 00:14:53.902991,"Look at this one, then.",kijk deze dan .,look at this .,,
1900-01-01 00:14:53.902991,1900-01-01 00:14:55.902991,My god.,mijn god .,"oh , my god .",,
1900-01-01 00:14:55.902991,1900-01-01 00:14:57.902991,What the fuck?,wat ?,what ?,,
1900-01-01 00:14:57.922991,1900-01-01 00:14:59.922991,This is what goes on daily.,dit is wat er gaande is .,this is what's going on .,,
1900-01-01 00:14:59.922991,1900-01-01 00:15:02.922991,"All that bread like this, and all that pasta.",dat lijkt wel goed .,that looks good .,,
1900-01-01 00:15:02.922991,1900-01-01 00:15:03.922991,Wow.,wauw .,wow .,,
1900-01-01 00:15:05.922991,1900-01-01 00:15:07.902991,What's he doing with all this stuff?,wat doet hij met al deze spullen ?,what is he doing with all this stuff ?,,
1900-01-01 00:15:12.902991,1900-01-01 00:15:14.902991,There's not enough time to prepare everything,er is niet genoeg tijd om alles nodig,there's no time to need everything,,
1900-01-01 00:15:14.902991,1900-01-01 00:15:16.902991,with everything he has to prepare in the day.,met alles wat hij moet arresteren .,with everything he should arrest .,,
1900-01-01 00:15:16.902991,1900-01-01 00:15:18.902991,Then what happens when he doesn't sell this?,wat dan gebeurt er toen hij dit niet verkopen ?,what happens when he didn't sell this ?,,
1900-01-01 00:15:18.902991,1900-01-01 00:15:19.902991,Where does it go?,waar gaat het heen ?,where are you going ?,,
1900-01-01 00:15:19.902991,1900-01-01 00:15:20.902991,Throw it away.,gooi het weg .,throw it away .,,
1900-01-01 00:15:20.902991,1900-01-01 00:15:22.902991,He throws it away.,hij lacht het .,he's laughing .,,
1900-01-01 00:15:22.902991,1900-01-01 00:15:23.902991,How much do we throw away?,hoeveel doen we weg ?,how many do we run ?,,
1900-01-01 00:15:23.902991,1900-01-01 00:15:25.922991,"There are times where we've thrown away a lot of pasta,",er zijn tijd dat we veel [UNK] hebben geregeld .,there are time we arranged a lot of [UNK] .,,
1900-01-01 00:15:25.943991,1900-01-01 00:15:27.943991,because people aren't ordering it.,omdat mensen het niet [UNK] .,because people didn't [UNK] it .,,
1900-01-01 00:15:27.943991,1900-01-01 00:15:30.943991,"Patty and Val, this is your house.","- patty en val , dit is jouw huis .","- patty and val , this is your house .",,
1900-01-01 00:15:30.943991,1900-01-01 00:15:31.943991,This is you.,dit is jou .,this is you .,,
1900-01-01 00:15:31.943991,1900-01-01 00:15:33.943991,This is your life right here in the trash.,dit is jouw leven hier in de [UNK] .,this is your life here in the [UNK] .,,
1900-01-01 00:15:33.943991,1900-01-01 00:15:36.943991,"Tatiana, what I'm more concerned about","[UNK] , wat ik [UNK] .","[UNK] , what i [UNK] .",,
1900-01-01 00:15:36.943991,1900-01-01 00:15:38.943991,is the fact that you're oblivious.,het is het feit dat je [UNK] bent .,it's the fact you're [UNK] .,,
1900-01-01 00:15:38.943991,1900-01-01 00:15:41.943991,You're like an airhead that's got her head in the clouds.,je bent als een [UNK] die haar hoofd [UNK] .,you're like a [UNK] hair .,,
1900-01-01 00:15:43.943991,1900-01-01 00:15:45.943991,This is business.,dit zijn zaken .,these are business .,,
1900-01-01 00:15:45.943991,1900-01-01 00:15:48.943991,It was a unsuccessful business before.,het was een [UNK] zaak .,it was an [UNK] case .,,
1900-01-01 00:15:48.943991,1900-01-01 00:15:53.943991,You picked it up and maintained that unsuccessful menu,je hebt het [UNK] en die menu gehaald .,you took the [UNK] and that menu .,,
1900-01-01 00:15:53.962991,1900-01-01 00:15:55.962991,in an unsuccessful business.,in een [UNK] .,in a [UNK] .,,
1900-01-01 00:15:55.962991,1900-01-01 00:15:57.962991,"You come in, change nothing.",je komt er helemaal niks aan .,you don't work at all .,,
1900-01-01 00:15:57.962991,1900-01-01 00:15:59.962991,You can't direct any form of criticism,kun je geen vorm van [UNK] ?,can't you get a form of [UNK] ?,,
1900-01-01 00:15:59.962991,1900-01-01 00:16:00.962991,or standards to your chefs.,of [UNK] naar je [UNK] .,or [UNK] to your [UNK] .,,
1900-01-01 00:16:00.962991,1900-01-01 00:16:03.962991,I don't even know why you bought the place.,ik weet niet eens waarom je de plek hebt gekocht .,i don't even know why you bought the place .,,
1900-01-01 00:16:03.962991,1900-01-01 00:16:05.962991,And I certainly wouldn't pull my sister down,en ik zou mijn zus niet [UNK] .,and i wouldn't [UNK] my sister .,,
1900-01-01 00:16:05.962991,1900-01-01 00:16:09.962991,and bring my parents into it to facilitate your ego dream.,breng mijn ouders het om je droom naar [UNK] ego .,bring my parents to your dream to [UNK] ego .,,
1900-01-01 00:16:11.962991,1900-01-01 00:16:12.962991,Don't you understand?,begrijp je het niet ?,don't you understand ?,,
1900-01-01 00:16:12.962991,1900-01-01 00:16:15.962991,"Like, I look at my mother, and I feel horrible.",ik zie mijn moeder en ik voel me verschrikkelijk .,i see my mom and i feel awful .,,
1900-01-01 00:16:15.962991,1900-01-01 00:16:17.962991,I feel horrible.,ik voel me verschrikkelijk .,i feel terrible .,,
1900-01-01 00:16:17.962991,1900-01-01 00:16:18.962991,Excuse me.,pardon .,excuse me .,,
1900-01-01 00:16:18.962991,1900-01-01 00:16:20.962991,Don't start looking for sympathy now.,begin nu niet naar [UNK] .,don't start to [UNK] .,,
1900-01-01 00:16:20.962991,1900-01-01 00:16:21.962991,Who wanted this place?,wie wou deze plek ?,who would this place ?,,
1900-01-01 00:16:21.982991,1900-01-01 00:16:22.982991,I'm sorry.,het spijt me .,i'm sorry .,,
1900-01-01 00:16:22.982991,1900-01-01 00:16:23.982991,"It wasn't your mother's dream,",het was niet jouw droom .,it wasn't your dream .,,
1900-01-01 00:16:23.982991,1900-01-01 00:16:26.982991,and it certainly wasn't Val's dream.,en het was zeker niet [UNK] droom .,and it's certainly not like [UNK] dream .,,
1900-01-01 00:16:26.982991,1900-01-01 00:16:27.982991,Or am I wrong?,of niet ?,or not ?,,
1900-01-01 00:16:27.982991,1900-01-01 00:16:29.982991,"No, it was Tati's dream.","nee , het was [UNK] droom .","no , it was [UNK] dream .",,
1900-01-01 00:16:29.982991,1900-01-01 00:16:33.982991,"Tati's dream, which has now come back to bite you on the ass.",[UNK] droom . wat is nu terug om je te [UNK] .,what now is back to [UNK] you .,,
1900-01-01 00:16:36.247982,1900-01-01 00:16:39.047982,What hurts me is not how you feel.,wat me pijn doet is niet hoe je voelt .,what me hurt is not how you feel .,,
1900-01-01 00:16:39.047982,1900-01-01 00:16:41.287982,It's what's going to happen to them if this doesn't work.,het is wat er met hen gebeurt als dit niet werkt .,it's what happens to them if this isn't working .,,
1900-01-01 00:16:41.287982,1900-01-01 00:16:42.187982,How's gone?,hoe is het ?,how is it ?,,
1900-01-01 00:16:42.187982,1900-01-01 00:16:43.087982,How's gone?,hoe is het ?,how is it ?,,
1900-01-01 00:16:43.087982,1900-01-01 00:16:43.987982,What are you going to do?,wat ga je doen ?,what are you going to do ?,,
1900-01-01 00:16:43.987982,1900-01-01 00:16:45.487982,"I don't know, Gordon.","ik weet het niet , gordon .","i don't know , gordon .",,
1900-01-01 00:16:45.487982,1900-01-01 00:16:46.627982,I don't know.,ik weet het niet .,i don't know .,,
1900-01-01 00:16:46.627982,1900-01-01 00:16:49.187982,But why did you do it?,waarom deed je het ?,why did you do it ?,,
1900-01-01 00:16:49.187982,1900-01-01 00:16:51.727982,Because I thought I could make it successful,omdat ik dacht dat ik het succes kon maken .,because i thought i could do the success .,,
1900-01-01 00:16:51.727982,1900-01-01 00:16:53.167982,because I believed in myself.,want ik geloofde in mezelf .,because i believed in myself .,,
1900-01-01 00:16:53.167982,1900-01-01 00:16:56.527982,"What, and not make changes?",wat ? en jij verandert niet ?,"what , and you don't change ?",,
1900-01-01 00:16:56.527982,1900-01-01 00:17:00.367982,What the hell were you thinking?,wat dacht je ?,what did you think ?,,
1900-01-01 00:17:00.367982,1900-01-01 00:17:03.567982,Where are you going?,waar ga je heen ?,where you going ?,,
1900-01-01 00:17:03.567982,1900-01-01 00:17:08.267982,"Wow, what a joke.","wauw , wat een grap .","wow , what a joke .",,
1900-01-01 00:17:08.267982,1900-01-01 00:17:11.166982,I resent my sister for putting me in this position.,ik [UNK] mijn zus voor me .,i [UNK] my sister .,,
1900-01-01 00:17:11.166982,1900-01-01 00:17:15.366982,She needs to be knocked off her high horse.,ze moet zwanger zijn .,she must be pregnant .,,
1900-01-01 00:17:15.366982,1900-01-01 00:17:18.006982,And now Chef Ramsay's making her really see,en nu heeft [UNK] haar echt gezien .,and now [UNK] really saw her .,,
1900-01-01 00:17:18.006982,1900-01-01 00:17:19.407982,that she does not know it all.,dat ze het allemaal niet weet .,she doesn't know all .,,
1900-01-01 00:17:24.787982,1900-01-01 00:17:31.927982,"Like, I just feel completely alone and worthless.",ik voel me alleen [UNK] en waardeloos .,i just feel [UNK] and you know .,,
1900-01-01 00:17:31.927982,1900-01-01 00:17:32.827982,And I don't know what to do.,en ik weet niet wat ik moet doen .,and i don't know what to do .,,
1900-01-01 00:17:42.526982,1900-01-01 00:17:44.706982,Night one is usually an observation,nacht is een [UNK] .,night is an [UNK] .,,
1900-01-01 00:17:44.706982,1900-01-01 00:17:46.126982,night for Chef Ramsay.,[UNK] voor [UNK] .,[UNK] for [UNK] .,,
1900-01-01 00:17:46.126982,1900-01-01 00:17:48.607982,But things are so bad here at Charlie's.,maar dingen zijn hier zo slecht bij [UNK] .,but things are so bad at [UNK] .,,
1900-01-01 00:17:48.607982,1900-01-01 00:17:49.507982,Chef.,chef .,chief .,,
1900-01-01 00:17:49.507982,1900-01-01 00:17:50.706982,"I'll be two seconds, OK?","ik zal twee seconden zijn , oké ?","i'll be two seconds , okay ?",,
1900-01-01 00:17:50.706982,1900-01-01 00:17:53.166982,He decides to make one change right away.,hij besluit om een andere manier te veranderen .,he decides to change another way .,,
1900-01-01 00:17:53.166982,1900-01-01 00:17:54.067982,Casamiro.,[UNK] .,[UNK] .,,
1900-01-01 00:17:54.067982,1900-01-01 00:17:54.967982,Daniela.,[UNK] .,[UNK] .,,
1900-01-01 00:17:54.967982,1900-01-01 00:17:57.147982,"OK, we're going to make homemade meatballs.",we gaan [UNK] [UNK] maken .,we're going to make [UNK] [UNK] .,,
1900-01-01 00:17:57.147982,1900-01-01 00:17:58.886982,"I want you to make me a meatball,",ik wil dat je me een [UNK] wilt maken .,i want you to make me a [UNK] .,,
1900-01-01 00:17:58.886982,1900-01-01 00:18:00.946982,and I want you to make me a meatball.,en ik wil dat je me een [UNK] wilt maken .,and i want you to make me a [UNK] .,,
1900-01-01 00:18:00.967982,1900-01-01 00:18:02.107982,I'd like to taste yours.,ik wil jouw smaak voorstellen .,i would like to introduce your taste .,,
1900-01-01 00:18:02.107982,1900-01-01 00:18:03.206982,I'd like to taste yours.,ik wil jouw smaak voorstellen .,i would like to introduce your taste .,,
1900-01-01 00:18:03.206982,1900-01-01 00:18:04.007982,"I'll be back later, yeah?",ik kom later terug .,i'll come back .,,
1900-01-01 00:18:09.946982,1900-01-01 00:18:11.547982,Casamiro shouldn't have a problem,[UNK] heeft geen probleem .,[UNK] has no problem .,,
1900-01-01 00:18:11.547982,1900-01-01 00:18:13.486982,with it since he's worked in an Italian restaurant,sinds hij in [UNK] werkt .,since he works in [UNK] .,,
1900-01-01 00:18:13.486982,1900-01-01 00:18:14.287982,for 15 years.,voor 15 jaar .,for 15 years .,,
1900-01-01 00:18:20.626982,1900-01-01 00:18:23.827982,"I'm watching Casamiro, and like, I cringe because he",ik kijk [UNK] en ik hou ervan .,i watch [UNK] and i love it .,,
1900-01-01 00:18:23.827982,1900-01-01 00:18:26.227982,doesn't know what he's doing.,weet niet wat hij doet .,don't know what he does .,,
1900-01-01 00:18:26.227982,1900-01-01 00:18:27.126982,How are they?,hoe gaat het met ze ?,how's she doing ?,,
1900-01-01 00:18:27.386982,1900-01-01 00:18:30.187982,So what did you do?,wat heb je gedaan ?,what have you done ?,,
1900-01-01 00:18:30.187982,1900-01-01 00:18:32.227982,You didn't fry them off?,heb je ze niet [UNK] ?,haven't you [UNK] them ?,,
1900-01-01 00:18:32.227982,1900-01-01 00:18:33.327982,He's not even frying them off.,hij heeft ze niet eens [UNK] .,he didn't even [UNK] them .,,
1900-01-01 00:18:33.327982,1900-01-01 00:18:34.427982,He's just boiling them in sauce.,hij [UNK] ze alleen in [UNK] .,he just [UNK] them in [UNK] .,,
1900-01-01 00:18:37.026982,1900-01-01 00:18:40.967982,"Tatiana, when you make a meatball,","[UNK] , als je een [UNK] maakt ,","[UNK] , if you make a [UNK] ,",,
1900-01-01 00:18:40.967982,1900-01-01 00:18:42.467982,"you have a pan, a frying pan.",je hebt een pan en een [UNK] .,you got me a [UNK] .,,
1900-01-01 00:18:42.467982,1900-01-01 00:18:47.006982,"You saute the meat, and you finish it off in sauce.",je hebt het vlees en je hebt het [UNK] [UNK] .,you got some meat and you [UNK] the [UNK] .,,
1900-01-01 00:18:47.006982,1900-01-01 00:18:47.907982,You don't know that?,weet je dat niet ?,you don't know ?,,
1900-01-01 00:18:47.907982,1900-01-01 00:18:48.707982,No.,nee .,no .,,
1900-01-01 00:18:48.707982,1900-01-01 00:18:49.506982,No.,nee .,no .,,
1900-01-01 00:18:49.506982,1900-01-01 00:18:50.907982,No.,nee .,no .,,
1900-01-01 00:18:50.907982,1900-01-01 00:18:52.907982,What season you put in there?,wat heb je daar [UNK] ?,what have you got there ?,,
1900-01-01 00:18:52.907982,1900-01-01 00:18:53.907982,There's just nothing in there.,er zit niks in .,there's nothing .,,
1900-01-01 00:18:53.907982,1900-01-01 00:18:55.407982,"It's just like, oh, I don't know.",ik weet het gewoon niet .,i just don't know .,,
1900-01-01 00:18:55.666982,1900-01-01 00:18:56.666982,There's just nothing in there.,er zit niks in .,there's nothing .,,
1900-01-01 00:18:56.666982,1900-01-01 00:18:58.067982,It's just like boiled meatballs.,het is net als [UNK] [UNK] .,it's like [UNK] [UNK] .,,
1900-01-01 00:18:58.067982,1900-01-01 00:18:58.967982,Look at them.,moet je ze zien .,look at them .,,
1900-01-01 00:18:58.967982,1900-01-01 00:19:00.806982,They're like cat food.,ze zijn [UNK] .,they're [UNK] .,,
1900-01-01 00:19:00.806982,1900-01-01 00:19:02.006982,How are you cooking yours?,hoe kun je de jouwe koken ?,how can you deal with yours ?,,
1900-01-01 00:19:02.006982,1900-01-01 00:19:02.907982,I was searching.,ik was op zoek .,i was looking for .,,
1900-01-01 00:19:02.907982,1900-01-01 00:19:04.107982,"OK, good.","oké , goed .","okay , good .",,
1900-01-01 00:19:04.107982,1900-01-01 00:19:05.006982,"Let me have a little taste of that, bring it out.",laat me daar een beetje smaak maken .,leave me a taste there .,,
1900-01-01 00:19:10.707982,1900-01-01 00:19:12.586982,"Oh, that's nice.",wat leuk .,nice .,,
1900-01-01 00:19:12.586982,1900-01-01 00:19:13.487982,Nothing.,niets .,nothing .,,
1900-01-01 00:19:13.487982,1900-01-01 00:19:14.386982,Soft?,zacht ?,soft ?,,
1900-01-01 00:19:14.386982,1900-01-01 00:19:15.586982,"Yeah, crumbly, delicious.","ja , [UNK] , heerlijk .","yeah , [UNK] , lovely .",,
1900-01-01 00:19:15.586982,1900-01-01 00:19:16.687982,I'm going to use them tonight.,ik ga ze vanavond gebruiken .,i'm gonna use them tonight .,,
1900-01-01 00:19:16.687982,1900-01-01 00:19:17.687982,They're going on the menu tonight.,ze gaan vanavond op het menu .,they're going to the menu tonight .,,
1900-01-01 00:19:22.286982,1900-01-01 00:19:23.187982,You're the sous chef.,jij bent de [UNK] .,you're the [UNK] .,,
1900-01-01 00:19:23.187982,1900-01-01 00:19:24.767982,Just be the fucking head chef.,wees gewoon de [UNK] .,just be the [UNK] .,,
1900-01-01 00:19:25.627982,1900-01-01 00:19:27.487982,I get nervous when a chef can't even make a meatball.,ik ben nerveus dat ik niet kan maken .,i'm nervous i can't make it .,,
1900-01-01 00:19:27.487982,1900-01-01 00:19:28.786982,"I mean, honestly.","ik bedoel , eerlijk .","i mean , fair .",,
1900-01-01 00:19:28.786982,1900-01-01 00:19:30.067982,And this young lady's flavor of her meatball,en deze jonge [UNK] van haar [UNK],and this young [UNK] of her [UNK],,
1900-01-01 00:19:30.067982,1900-01-01 00:19:31.526982,is 10 times greater.,10 keer [UNK] .,10 times [UNK] .,,
1900-01-01 00:19:31.526982,1900-01-01 00:19:33.707982,Kasimiro couldn't make a meatball correctly.,[UNK] kon geen [UNK] maken .,[UNK] couldn't make any [UNK] .,,
1900-01-01 00:19:33.707982,1900-01-01 00:19:36.006982,But I don't think he's a bad cook.,maar ik denk dat hij geen slecht koken .,but i think he's not [UNK] .,,
1900-01-01 00:19:36.006982,1900-01-01 00:19:37.806982,Necesitamos enseñarlo en este.,[UNK] [UNK] en [UNK] .,[UNK] [UNK] and [UNK] .,,
1900-01-01 00:19:37.806982,1900-01-01 00:19:39.107982,"Tu eres bueno, Kasimiro.","[UNK] [UNK] , [UNK] .","[UNK] [UNK] , [UNK] .",,
1900-01-01 00:19:39.107982,1900-01-01 00:19:41.006982,You're bueno.,je bent [UNK] .,you're [UNK] .,,
1900-01-01 00:19:41.006982,1900-01-01 00:19:41.907982,Be strong.,wees sterk .,be strong .,,
1900-01-01 00:19:47.907982,1900-01-01 00:19:49.547982,As dinner service begins.,het etentje begint .,dinner is up .,,
1900-01-01 00:19:49.547982,1900-01-01 00:19:50.687982,"Hi, guys, welcome to Charlie's.","hallo , jongens , welkom bij [UNK] .","hello , guys , welcome to [UNK] .",,
1900-01-01 00:19:50.687982,1900-01-01 00:19:52.146982,Table for six.,tafel voor zes .,table for six .,,
1900-01-01 00:19:52.146982,1900-01-01 00:19:54.226982,Our specialty tonight is spaghetti meatballs.,onze [UNK] is [UNK] [UNK] .,our [UNK] is [UNK] [UNK] .,,
1900-01-01 00:19:55.187982,1900-01-01 00:19:57.187982,Chef Ramsay is giving a tutorial on meatballs,chef [UNK] is een [UNK] op [UNK] .,chief [UNK] is a [UNK] at [UNK] .,,
1900-01-01 00:19:57.187982,1900-01-01 00:19:58.687982,in an Italian restaurant.,in [UNK] restaurant .,in [UNK] restaurant .,,
1900-01-01 00:19:58.687982,1900-01-01 00:20:01.127982,We've got to have a color on there that adds,we moeten kleur daar op die [UNK] .,we need to work out there .,,
1900-01-01 00:20:01.127982,1900-01-01 00:20:02.886982,"richness and a nice, deep flavor.",[UNK] en een mooi [UNK] .,[UNK] and a nice [UNK] .,,
1900-01-01 00:20:02.886982,1900-01-01 00:20:03.786982,OK.,oké .,okay .,,
1900-01-01 00:20:03.786982,1900-01-01 00:20:04.886982,And are we ready to order?,en zijn we klaar om te bestellen ?,and are we ready to order ?,,
1900-01-01 00:20:04.886982,1900-01-01 00:20:06.187982,Or do we need a minute?,of hebben we even nodig ?,or do we need a minute ?,,
1900-01-01 00:20:06.187982,1900-01-01 00:20:07.086982,Shrimp pilaf.,[UNK] [UNK] .,[UNK] [UNK] .,,
1900-01-01 00:20:07.086982,1900-01-01 00:20:07.987982,OK.,oké .,okay .,,
